track,danceability,energy,speechiness,acousticness,instrumentalness,liveness
1,0.481,0.262,0.0414,0.735,0.0114,0.832
2,0.694,0.394,0.0428,0.0781,0.0150,0.247
3,0.472,0.366,0.0286,0.15,0.308,0.0837
4,0.358,0.48,0.0849,0.521,0.00428,0.178
5,0.431,0.375,0.0347,0.391,0.721,0.143
6,0.588,0.301,0.0294,0.221,0.00236,0.128
7,0.275,0.216,0.0345,0.768,0.897,0.0832
8,0.356,0.302,0.0346,0.863,0.546,0.634
9,0.322,0.265,0.0302,0.0726,0.34,0.366
10,0.478,0.661,0.0411,0.0185,0.0150,0.766
11,0.295,0.49,0.0325,0.434,0.0150,0.952
12,0.454,0.374,0.0257,0.518,0.0104,0.944
13,0.34,0.34,0.0398,0.141,0.0150,0.789
14,0.602,0.426,0.0404,0.307,0.0468,0.104
15,0.599,0.399,0.0248,0.128,0.00342,0.712
16,0.274,0.555,0.106,0.157,0.00599,0.953
17,0.378,0.0776,0.0347,0.766,0.0109,0.082
18,0.359,0.128,0.0372,0.354,0.00181,0.656
19,0.638,0.0811,0.0335,0.879,0.00315,0.314
20,0.307,0.0742,0.0359,0.723,0.308,0.11
21,0.251,0.148,0.0431,0.71,0.432,0.106
22,0.454,0.65,0.0437,0.407,0.0498,0.589
23,0.578,0.15,0.0334,0.243,0.00707,0.0825
24,0.322,0.265,0.0302,0.0726,0.34,0.366
25,0.384,0.348,0.0293,0.626,0.00124,0.236
26,0.286,0.499,0.044,0.464,0.0150,0.102